word,attempts,solved
rolls,4,True
tayra,3,True
nabby,7,True
hypha,5,True
ribas,3,True
tarzy,3,True
wazoo,7,True
styes,4,True
rayas,4,True
mayst,3,True
skier,6,True
slump,4,True
riles,3,True
mudar,4,True
powan,5,True
seirs,7,True
rares,14,True
fanal,6,True
abura,6,True
yabba,5,True
aguti,4,True
heaty,6,True
pirls,3,True
toned,3,True
units,4,True
nival,5,True
powny,4,True
rybat,3,True
poult,3,True
rawks,6,True
meums,5,True
sober,4,True
boers,3,True
ghast,3,True
grapy,5,True
moton,4,True
acker,6,True
rohes,9,True
pilch,4,True
snarf,6,True
wexes,10,True
aspic,5,True
tassa,5,True
hiois,4,True
cloys,7,True
ratio,3,True
siped,4,True
amice,5,True
patia,5,True
gawky,5,True
craws,9,True
bunas,5,True
kuzus,6,True
detag,4,True
teaed,3,True
orped,3,True
smerk,5,True
gyron,3,True
hasks,7,True
netts,7,True
niffs,7,True
hoped,6,True
bokos,7,True
risen,3,True
zanze,7,True
gripy,6,True
hecht,6,True
duple,4,True
crate,4,True
mahrs,4,True
colas,3,True
solar,3,True
edema,4,True
tulsi,3,True
couch,7,True
hasta,6,True
eques,5,True
doper,5,True
lokes,7,True
flout,6,True
frize,6,True
thewy,4,True
tzars,4,True
blows,5,True
scrip,5,True
arced,4,True
sixty,3,True
izars,4,True
biome,3,True
kikes,10,True
verst,3,True
trifa,4,True
gyppo,4,True
onium,4,True
sowfs,7,True
croft,5,True
tanhs,6,True
canso,4,True
labra,4,True
bords,5,True
lilos,7,True
stich,4,True
hangi,4,True
arars,9,True
hules,6,True
bocca,5,True
bidis,4,True
weeps,9,True
nevel,7,True
camis,4,True
irate,5,True
rasam,4,True
barby,8,True
camps,5,True
nomos,6,True
adieu,3,True
furze,7,True
assot,5,True
hamed,6,True
sprit,3,True
mingi,4,True
elbow,4,True
kriol,3,True
fawns,7,True
gurry,6,True
rudds,4,True
noels,2,True
sears,13,True
skyey,7,True
seter,3,True
shoud,3,True
entre,4,True
inkle,6,True
canty,5,True
jello,6,True
conex,4,True
ioras,4,True
onery,4,True
brios,4,True
tsuba,3,True
kotos,6,True
anile,5,True
queyu,4,True
redon,3,True
wrick,6,True
veins,6,True
blite,3,True
bares,6,True
jived,8,True
amber,5,True
napes,3,True
ewest,7,True
thorn,3,True
matra,4,True
lethe,3,True
makes,7,True
azyme,5,True
caxon,5,True
raird,3,True
unket,5,True
unagi,5,True
dexie,4,True
chose,5,True
alick,5,True
roopy,6,True
buchu,4,True
loran,4,True
pulps,6,True
pasag,5,True
oints,3,True
rites,3,True
kivas,7,True
farce,4,True
gares,9,True
ranns,7,True
aygre,5,True
topos,7,True
samen,3,True
indie,4,True
rarer,9,True
alkyl,5,True
suras,6,True
commo,6,True
lynes,5,True
warby,6,True
abbes,7,True
tases,11,True
nobby,6,True
ilial,6,True
scats,7,True
pauls,3,True
bergs,7,True
brond,3,True
aerie,4,True
dross,6,True
cutin,4,True
peare,6,True
barge,5,True
pogos,6,True
scrap,5,True
ninny,9,True
stela,4,True
fides,7,True
calla,4,True
pyxed,3,True
lough,4,True
scrag,7,True
panni,4,True
shrub,5,True
aimer,3,True
skyed,5,True
tries,2,True
soily,2,True
hijab,6,True
cuber,4,True
guans,4,True
supra,4,True
rhies,4,True
kecks,8,True
spado,3,True
smelt,5,True
